date;timestamp;TID;PID;loglevel;component;logmessage
04-21;14:11:05.802;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:05.805;638;4007;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:05.805;638;4007;D;PackageWatchdog;Received supported packages []
04-21;14:11:05.806;638;4007;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:05.807;638;4763;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:05.807;638;4763;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:05.810;638;4763;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:06.082;638;7847;I;RescueParty;Starting to observe: [android], updated namespace: telephony
04-21;14:11:06.083;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:06.083;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:06.083;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:06.083;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:06.083;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:06.091;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:06.091;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:06.098;638;638;W;ProcessStats;Tracking association SourceState{946cb26 com.google.android.tvrecommendations/10048 BTopFgs #167850} whose proc state 2 is better than process ProcessState{f5900c3 com.google.android.gms.persistent/10050 pkg=com.google.android.gms} proc state 3 (5950 skipped)
04-21;14:11:06.098;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:06.099;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:06.100;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:06.100;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:06.100;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:06.101;638;4763;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:06.101;638;4763;D;PackageWatchdog;Received supported packages []
04-21;14:11:06.101;638;4763;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:06.102;638;4007;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:06.102;638;4007;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:06.104;638;4007;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:06.242;638;4763;I;RescueParty;Starting to observe: [android], updated namespace: runtime_native
04-21;14:11:06.242;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:06.242;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:06.242;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:06.242;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:06.242;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:06.254;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:06.254;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:06.258;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:06.261;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:06.262;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:06.262;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:06.262;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:06.265;638;7847;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:06.265;638;7847;D;PackageWatchdog;Received supported packages []
04-21;14:11:06.265;638;7847;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:06.267;638;7847;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:06.267;638;7847;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:06.272;638;7847;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:06.687;638;4763;I;RescueParty;Starting to observe: [android], updated namespace: configuration
04-21;14:11:06.687;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:06.688;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:06.688;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:06.688;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:06.688;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:06.696;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:06.696;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:06.704;638;23490;E;SettingsToPropertiesMapper;adservices/disable_sdk_sandbox,adservices/enforce_broadcast_receiver_restrictions,adservices/fledge_ad_selection_enforce_foreground_status_custom_audience,adservices/fledge_custom_audience_max_count,adservices/fledge_custom_audience_max_num_ads,adservices/fledge_custom_audience_max_owner_count,adservices/fledge_custom_audience_per_app_max_count,adservices/fledge_js_isolate_enforce_max_heap_size,adservices/fledge_js_isolate_max_heap_size_bytes,adservices/sdk_request_permits_per_second,adservices/sdksandbox_customized_sdk_context_enabled,configuration/namespace_to_package_mapping,constrain_display_apis/always_constrain_display_apis,constrain_display_apis/never_constrain_display_apis,constrain_display_apis/never_constrain_display_apis_all_packages,device_policy_manager/disable_resources_updatability,flipendo/default_savings_mode_launch,flipendo/essential_apps,flipendo/flipendo_enabled_launch,flipendo/grayscale_enabled_launch,flipendo/lever_ble_scanning_enabled_launch,flipendo/lever_hotspot_enabled_launch,flipendo/lever_work_profile_enabled_launch,flipendo/resuspend_delay_minutes,namespace/key,namespace1/key1,namespace1/key2,namespace2/key1,namespace2/key2,package_manager_service/incfs_default_timeouts,package_manager_service/known_digesters_list,privacy/location_access_check_periodic_interval_millis,rollback/enable_rollback_timeout,rollback/watchdog_explicit_health_check_enabled,rollback/watchdog_request_timeout_millis,rollback/watchdog_trigger_failure_count,rollback/watchdog_trigger_failure_duration_millis,rollback_boot/rollback_lifetime_in_millis,systemui/nas_generate_actions,systemui/nas_generate_replies,systemui/nas_max_messages_to_extract,systemui/nas_max_suggestions,testspace/another,testspace/flagname,textclassifier/config_updater_model_enabled,textclassifier/key,textclassifier/key2,textclassifier/manifest_url_annotator_en,textclassifier/manifest_url_annotator_ru,textclassifier/model_download_backoff_delay_in_millis,textclassifier/model_download_manager_enabled,textclassifier/multi_language_support_enabled,textclassifier/testing_locale_list_override,textclassifier/textclassifier_service_package_override,window_manager/enable_default_rescind_bal_privileges_from_pending_intent_sender,wrong/nas_generate_replies, exceeds system property max length.
04-21;14:11:06.706;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:06.707;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:06.709;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:06.709;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:06.709;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:06.711;638;7847;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:06.711;638;7847;D;PackageWatchdog;Received supported packages []
04-21;14:11:06.711;638;7847;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:06.712;638;4007;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:06.712;638;4007;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:06.716;638;4007;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:06.905;638;7847;I;RescueParty;Starting to observe: [android, com.google.android.permissioncontroller, com.google.android.gms, com.google.android.gsf, com.android.providers.userdictionary, com.android.providers.media.module, com.android.systemui, com.android.bluetooth, com.android.providers.contacts], updated namespace: privacy
04-21;14:11:06.906;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:06.906;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android, com.google.android.permissioncontroller, com.google.android.gms, com.google.android.gsf, com.android.providers.userdictionary, com.android.providers.media.module, com.android.systemui, com.android.bluetooth, com.android.providers.contacts]
04-21;14:11:06.906;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:06.906;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:06.906;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:06.923;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:06.923;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:06.929;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:06.929;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:06.929;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:06.930;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:06.930;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:06.933;638;652;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:06.933;638;652;D;PackageWatchdog;Received supported packages []
04-21;14:11:06.933;638;652;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:06.934;638;7847;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:06.934;638;7847;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:06.938;638;7847;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:07.052;638;652;I;RescueParty;Starting to observe: [com.google.android.ext.services, android, com.android.systemui], updated namespace: systemui
04-21;14:11:07.053;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:07.053;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.053;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:07.054;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [com.google.android.ext.services, android, com.android.systemui]
04-21;14:11:07.054;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:07.055;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:07.056;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:07.067;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.067;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:07.067;638;638;I;ExplicitHealthCheckController;Not binding to service, service already connecting
04-21;14:11:07.067;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:07.067;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:07.067;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.067;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:07.070;638;7847;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:07.070;638;7847;D;PackageWatchdog;Received supported packages []
04-21;14:11:07.070;638;7847;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:07.072;638;652;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:07.072;638;652;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:07.074;638;652;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:07.123;638;652;I;RescueParty;Starting to observe: [android], updated namespace: media
04-21;14:11:07.123;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:07.123;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:07.123;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:07.123;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:07.123;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:07.128;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.128;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:07.131;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:07.135;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:07.136;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:07.136;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.136;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:07.138;638;7847;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:07.139;638;7847;D;PackageWatchdog;Received supported packages []
04-21;14:11:07.139;638;7847;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:07.140;638;7847;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:07.140;638;7847;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:07.143;638;7847;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:07.462;638;7847;I;RescueParty;Starting to observe: [android, com.google.android.permissioncontroller], updated namespace: app_hibernation
04-21;14:11:07.463;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:07.463;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android, com.google.android.permissioncontroller]
04-21;14:11:07.463;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:07.463;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:07.463;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:07.470;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.470;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:07.477;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:07.477;638;638;D;AppHibernationService;App hibernation changed to enabled=true
04-21;14:11:07.478;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:07.478;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:07.478;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.478;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:07.480;638;7847;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:07.480;638;7847;D;PackageWatchdog;Received supported packages []
04-21;14:11:07.480;638;7847;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:07.481;638;7847;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:07.481;638;7847;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:07.485;638;7847;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:07.797;638;1069;I;RescueParty;Starting to observe: [android], updated namespace: lmkd_native
04-21;14:11:07.797;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:07.797;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:07.797;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:07.797;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:07.797;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:07.810;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.810;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:07.817;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:07.817;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:07.817;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:07.818;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.818;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:07.820;638;7847;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:07.820;638;7847;D;PackageWatchdog;Received supported packages []
04-21;14:11:07.820;638;7847;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:07.821;638;7847;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:07.821;638;7847;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:07.824;638;7847;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:07.871;638;4007;I;RescueParty;Starting to observe: [android], updated namespace: window_manager
04-21;14:11:07.871;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:07.871;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:07.871;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:07.871;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:07.871;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:07.878;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.878;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:07.885;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:07.892;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:07.892;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:07.892;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:07.892;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:07.895;638;4007;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:07.895;638;4007;D;PackageWatchdog;Received supported packages []
04-21;14:11:07.895;638;4007;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:07.896;638;1069;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:07.896;638;1069;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:07.897;638;1069;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:08.483;638;1069;I;RescueParty;Starting to observe: [android, com.android.bluetooth], updated namespace: bluetooth
04-21;14:11:08.484;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:08.484;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android, com.android.bluetooth]
04-21;14:11:08.484;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:08.484;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:08.484;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:08.485;638;638;D;BluetoothDeviceConfigListener;onPropertiesChanged: location_denylist_name='',location_denylist_advertising_data='â0016AAFE/00FFFFFF,â00FF4C0002/00FFFFFFFF',location_denylist_mac=''
04-21;14:11:08.490;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:08.490;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:08.495;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:08.501;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:08.502;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:08.502;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:08.502;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:08.505;638;4007;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:08.505;638;4007;D;PackageWatchdog;Received supported packages []
04-21;14:11:08.505;638;4007;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:08.506;638;7847;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:08.506;638;7847;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:08.508;638;7847;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:08.594;638;4007;I;RescueParty;Starting to observe: [android], updated namespace: latency_tracker
04-21;14:11:08.594;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:08.594;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
04-21;14:11:08.594;638;662;I;PackageWatchdog;Syncing state, reason: updated observers
04-21;14:11:08.595;638;662;I;PackageWatchdog;Not pruning observers, elapsed time: 0ms
04-21;14:11:08.595;638;662;I;PackageWatchdog;Saving observer state to file
04-21;14:11:08.599;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:08.599;638;638;I;ExplicitHealthCheckController;Service not ready to get health check supported packages. Binding...
04-21;14:11:08.604;638;638;I;ExplicitHealthCheckController;Explicit health check service is bound
04-21;14:11:08.605;638;638;I;ExplicitHealthCheckController;Explicit health check service is connected ComponentInfo{com.google.android.ext.services/android.ext.services.watchdog.ExplicitHealthCheckServiceImpl}
04-21;14:11:08.605;638;638;I;ExplicitHealthCheckController;Service initialized, syncing requests
04-21;14:11:08.606;638;638;I;PackageWatchdog;Syncing health check requests for packages: {}
04-21;14:11:08.606;638;638;D;ExplicitHealthCheckController;Getting health check supported packages
04-21;14:11:08.608;638;4007;I;ExplicitHealthCheckController;Explicit health check supported packages []
04-21;14:11:08.608;638;4007;D;PackageWatchdog;Received supported packages []
04-21;14:11:08.608;638;4007;D;ExplicitHealthCheckController;Getting health check requested packages
04-21;14:11:08.610;638;4007;I;ExplicitHealthCheckController;Explicit health check requested packages []
04-21;14:11:08.610;638;4007;I;ExplicitHealthCheckController;No more health check requests, unbinding...
04-21;14:11:08.612;638;4007;I;ExplicitHealthCheckController;Explicit health check service is unbound
04-21;14:11:08.643;638;652;I;RescueParty;Starting to observe: [android], updated namespace: battery_saver
04-21;14:11:08.644;638;662;I;PackageWatchdog;Syncing state, reason: observing new packages
04-21;14:11:08.644;638;662;D;PackageWatchdog;rescue-party-observer added the following packages to monitor [android]
